query_number rows_selected query_time_run1 query_time_rune2 query_time_run3
 	  	  	  	 
3 	 100 	 14.938 	 15.242 	 14.745
7 	 100 	 19.626 	 20.621 	 20.358
12 	 100 	 14.005 	 13.948 	 12.845
13 	 1 	 20.429 	 23.298 	 21.115
15 	 100 	 15.532 	 15.91 	 14.575
17 	 55 	 36.046 	 34.544 	 33.36
18 	 100 	 28.426 	 27.52 	 27.223
19 	 100 	 13.277 	 12.875 	 14.843
20 	 100 	 14.974 	 13.854 	 13.178
21 	 100 	 28.913 	 27.467 	 27.535
22 	 100 	 111.191 	 113.068 	 110.852
25 	 17 	 30.044 	 29.381 	 30.09
26 	 100 	 19.119 	 18.295 	 16.887
27 	 100 	 22.018 	 19.976 	 18.259
28 	 1 	 99.525 	  	 106.891
29 	 33 	 122.471 	  	 176.346
31 	 289 	 19.574 	 20.525 	 17.58
32 	 1 	 22.12 	 22.801 	 22.514
34 	 10,686 	 16.871 	 17.669 	 17.814
 	  	  	 38.487 	 
40 	 100 	 24.137 	 23.331 	 23.921
42 	 11 	 14.478 	 13.114 	 13.082
43 	 88 	 19.349 	 17.753 	 18.236
45 	 100 	 15.528 	 14.436 	 15.103
46 	 No 	 18.371 	 17.874 	 19.26
48 	 1 	 17.065 	 17.303 	 17.949
49 	 100 	 35.795 	 32.628 	 34.046
51 	 100 	 41.742 	 38.687 	 39.731
52 	 100 	 14.85 	 14.021 	 13.585
54 	 No 	 17.199 	 16.358 	 16.643
55 	 100 	 15.517 	 13.985 	 14.005
56 	 100 	 15.116 	 16.335 	 14.493
58 	 100 	 17.699 	 19.754 	 18.079
60 	 100 	 16.825 	 17.62 	 16.02
63 	 100 	 16.262 	 16.353 	 17.149
65 	 100 	 39.168 	 39.888 	 39.757
66 	 15 	 20.683 	 20.425 	 18.687
67 	 100 	 94.465 	 91.617 	 95.659
68 	 No 	 15.635 	 15.764 	 16.319
70 	 22 	 98.709 	 99.211 	 100.566
71 	 70,999 	 18.325 	 19.53 	 18.053
72 	 No 	 256.783 	 259.501 	 258.199
73 	 47 	 15.045 	 14.856 	 14.56
76 	 100 	 65.536 	 63.841 	 65.465
79 	 100 	 25.028 	 23.282 	 24.438
80 	 100 	 45.887 	 46.167 	 45.435
82 	 18 	 39.753 	 53.909 	 
84 	 100 	 16.946 	 18.282 	 17.287
85 	 50 	 25.475 	 23.658 	 22.777
87 	 1 	 39.741 	 51.866 	 54.694
88 	 1 	 100.057 	 100.025 	 99.255
89 	 100 	 16.608 	 17.706 	 16.614
90 	 1 	 32.576 	 32.875 	 33.539
91 	 30 	 12.533 	 14.276 	 13.596
92 	 1 	 48.561 	 46.786 	 48.179
94 	 1 	 115.12 	 108.678 	 114.604
96 	 1 	 35.574 	 34.925 	 37.015
97 	 1 	 47.558 	 49.81 	 50.11
98 	 30,573 	 15.228 	 15.276 	 15.593
